id,first_name,last_name,student_id,email
1,Khaled,Ahmed,3821656,ahmedk56@lsbu.ac.uk
2,Bobby,Hurley,3821657,hurleyb57@lsbu.ac.uk
3,Porter,Mckinney,3821658,mckinneyp58@lsbu.ac.uk
4,Laura,Meyers,3821659,meyersl59@lsbu.ac.uk
5,Natalya,Skinner,3821660,skinnern60@lsbu.ac.uk
6,Melina,Haney,3821661,haneym61@lsbu.ac.uk
7,Sofia,Lee,3821662,lees62@lsbu.ac.uk
8,Ali,Odom,3821663,odoma63@lsbu.ac.uk
9,Isabella,Mccarty,3821664,mccartyi64@lsbu.ac.uk
10,Cade,Higgins,3821665,higginsc65@lsbu.ac.uk
11,Arely,Cantrell,3821666,cantrella66@lsbu.ac.uk
12,Alisa,Gibson,3821667,gibsona67@lsbu.ac.uk
13,Judah,Lam,3821668,lamj68@lsbu.ac.uk
14,Jaylyn,Gallagher,3821669,gallagherj69@lsbu.ac.uk
15,Randy,Lynn,3821670,lynnr70@lsbu.ac.uk
16,Yuliana,Bender,3821671,bendery71@lsbu.ac.uk
17,Makena,Charles,3821672,charlesm72@lsbu.ac.uk
18,Donald,Caldwell,3821673,caldwelld73@lsbu.ac.uk
19,Matilda,Fritz,3821674,fritzm74@lsbu.ac.uk
20,Kira,Le,3821675,lek75@lsbu.ac.uk
